Year,Jurisdiction,Category,Stream,Fate,Tonnes
2006,ACT,Unclassified materials,C&D,Recycling,0.0
2006,ACT,Unclassified materials,C&I,Disposal,0.0
2006,ACT,Unclassified materials,C&I,Energy recovery,0.0
2006,ACT,Unclassified materials,C&I,Recycling,0.0
2006,ACT,Unclassified materials,MSW,Disposal,0.0
2006,ACT,Unclassified materials,MSW,Energy recovery,0.0
2006,ACT,Unclassified materials,MSW,Recycling,0.0
2006,ACT,Unclassified materials,Total,Disposal,0.0
2006,ACT,Unclassified materials,Total,Energy recovery,0.0
2006,ACT,Unclassified materials,Total,Recycling,1208.0
2006,NSW,Ash,C&I,Long-term storage,11260298.119309518
2006,NSW,Ash,C&I,Recycling,8585718.625151739
2006,NSW,Ash,Total,Long-term storage,11260298.119309518
2006,NSW,Ash,Total,Recycling,8585718.625151739
2006,NSW,Biosolids,C&I,Disposal,239848.55133234657
2006,NSW,Biosolids,C&I,Recycling,946770.5973645259
2006,NSW,Biosolids,Total,Disposal,239848.55133234657
2006,NSW,Biosolids,Total,Recycling,946770.5973645259
2006,NSW,Building and demolition materials,C&D,Disposal,716832.0
2006,NSW,Building and demolition materials,C&D,Recycling,3822173.0
2006,NSW,Building and demolition materials,C&I,Disposal,299992.0
2006,NSW,Building and demolition materials,C&I,Recycling,100405.0
2006,NSW,Building and demolition materials,MSW,Disposal,89187.0
2006,NSW,Building and demolition materials,MSW,Recycling,0.0
2006,NSW,Building and demolition materials,Total,Disposal,1106012.0
2006,NSW,Building and demolition materials,Total,Recycling,3922577.0
2006,NSW,Glass,C&D,Disposal,3626.0
2006,NSW,Glass,C&D,Recycling,13654.0
2006,NSW,Glass,C&I,Disposal,44331.0
2006,NSW,Glass,C&I,Recycling,148340.0
2006,NSW,Glass,MSW,Disposal,94801.0
2006,NSW,Glass,MSW,Recycling,553602.0
2006,NSW,Glass,Total,Disposal,142758.0
2006,NSW,Glass,Total,Recycling,715596.0
2006,NSW,Hazardous wastes,C&D,Disposal,1058173.9071522956
2006,NSW,Hazardous wastes,C&D,Energy recovery,0.0
2006,NSW,Hazardous wastes,C&D,Recycling,262636.02487945295
2006,NSW,Hazardous wastes,C&I,Disposal,1037684.1065104491
2006,NSW,Hazardous wastes,C&I,Energy recovery,178921.23576811096
2006,NSW,Hazardous wastes,C&I,Recycling,829324.148033176
2006,NSW,Hazardous wastes,Total,Disposal,2095858.0136627448
2006,NSW,Hazardous wastes,Total,Energy recovery,178921.23576811096
2006,NSW,Hazardous wastes,Total,Recycling,1091960.1729126289
2006,NSW,Metals,C&D,Disposal,47749.0
2006,NSW,Metals,C&D,Recycling,212638.0
2006,NSW,Metals,C&I,Disposal,47367.0
2006,NSW,Metals,C&I,Recycling,379939.0
2006,NSW,Metals,MSW,Disposal,63616.0
2006,NSW,Metals,MSW,Recycling,21941.0
2006,NSW,Metals,Total,Disposal,158732.0
2006,NSW,Metals,Total,Recycling,614518.0
2006,NSW,Organics,C&D,Disposal,369202.0
2006,NSW,Organics,C&D,Energy recovery,50258.0
2006,NSW,Organics,C&D,Recycling,161108.0
2006,NSW,Organics,C&I,Disposal,1691938.0
2006,NSW,Organics,C&I,Energy recovery,326631.0
2006,NSW,Organics,C&I,Recycling,407197.0
2006,NSW,Organics,MSW,Disposal,2507767.0
2006,NSW,Organics,MSW,Energy recovery,493418.0
2006,NSW,Organics,MSW,Recycling,524222.0
2006,NSW,Organics,Total,Disposal,4568908.0
2006,NSW,Organics,Total,Energy recovery,870307.0
2006,NSW,Organics,Total,Recycling,1092526.0
2006,NSW,Paper & cardboard,C&D,Disposal,10528.0
2006,NSW,Paper & cardboard,C&D,Energy recovery,2769.0
2006,NSW,Paper & cardboard,C&D,Recycling,0.0
2006,NSW,Paper & cardboard,C&I,Disposal,185105.0
2006,NSW,Paper & cardboard,C&I,Energy recovery,48694.0
2006,NSW,Paper & cardboard,C&I,Recycling,1230994.0
2006,NSW,Paper & cardboard,MSW,Disposal,42960.0
2006,NSW,Paper & cardboard,MSW,Energy recovery,11301.0
2006,NSW,Paper & cardboard,MSW,Recycling,609283.0
2006,NSW,Paper & cardboard,Total,Disposal,238593.0
2006,NSW,Paper & cardboard,Total,Energy recovery,62765.0
2006,NSW,Paper & cardboard,Total,Recycling,1840277.0
2006,NSW,Plastics,C&D,Disposal,24781.0
2006,NSW,Plastics,C&D,Recycling,1842.0
2006,NSW,Plastics,C&I,Disposal,446344.0
2006,NSW,Plastics,C&I,Recycling,37285.0
2006,NSW,Plastics,MSW,Disposal,278789.0
2006,NSW,Plastics,MSW,Recycling,34559.0
2006,NSW,Plastics,Total,Disposal,749913.0
2006,NSW,Plastics,Total,Recycling,73686.0
2006,NSW,"Textiles, leather & rubber (excl. tyres)",C&D,Disposal,9104.0
2006,NSW,"Textiles, leather & rubber (excl. tyres)",C&D,Energy recovery,2380.0
2006,NSW,"Textiles, leather & rubber (excl. tyres)",C&D,Recycling,0.0
2006,NSW,"Textiles, leather & rubber (excl. tyres)",C&I,Disposal,98213.0
2006,NSW,"Textiles, leather & rubber (excl. tyres)",C&I,Energy recovery,25670.0
2006,NSW,"Textiles, leather & rubber (excl. tyres)",C&I,Recycling,18079.0
2006,NSW,"Textiles, leather & rubber (excl. tyres)",MSW,Disposal,92957.0
2006,NSW,"Textiles, leather & rubber (excl. tyres)",MSW,Energy recovery,24296.0
2006,NSW,"Textiles, leather & rubber (excl. tyres)",MSW,Recycling,0.0
2006,NSW,"Textiles, leather & rubber (excl. tyres)",Total,Disposal,200275.0
2006,NSW,"Textiles, leather & rubber (excl. tyres)",Total,Energy recovery,52346.0
2006,NSW,"Textiles, leather & rubber (excl. tyres)",Total,Recycling,18079.0
2006,NSW,Total,C&D,Disposal,997222.0
2006,NSW,Total,C&D,Energy recovery,30278.0
2006,NSW,Total,C&D,Recycling,4976587.0
2006,NSW,Total,C&I,Disposal,1967321.0
2006,NSW,Total,C&I,Energy recovery,237679.0
2006,NSW,Total,C&I,Recycling,2257568.0
2006,NSW,Total,MSW,Disposal,1916193.0
2006,NSW,Total,MSW,Energy recovery,282307.0
2006,NSW,Total,MSW,Recycling,1608306.0
2006,NSW,Total,Total,Disposal,4880736.0
2006,NSW,Total,Total,Energy recovery,550264.0
2006,NSW,Total,Total,Recycling,8842461.0
2006,NSW,Unclassified materials,C&D,Disposal,0.0
2006,NSW,Unclassified materials,C&D,Energy recovery,0.0
2006,NSW,Unclassified materials,C&D,Recycling,1544000.0
2006,NSW,Unclassified materials,C&I,Disposal,0.0
2006,NSW,Unclassified materials,C&I,Energy recovery,0.0
2006,NSW,Unclassified materials,C&I,Recycling,19000.0
2006,NSW,Unclassified materials,MSW,Disposal,0.0
2006,NSW,Unclassified materials,MSW,Energy recovery,0.0
2006,NSW,Unclassified materials,MSW,Recycling,283000.0
2006,NSW,Unclassified materials,Total,Disposal,0.0
2006,NSW,Unclassified materials,Total,Energy recovery,0.0
2006,NSW,Unclassified materials,Total,Recycling,1846000.0
2006,NT,Biosolids,C&I,Disposal,3388.248996818338
2006,NT,Biosolids,C&I,Recycling,26767.167074864865
2006,NT,Biosolids,Total,Disposal,3388.248996818338
2006,NT,Biosolids,Total,Recycling,26767.167074864865
2006,NT,Building and demolition materials,C&D,Disposal,164642.0
2006,NT,Building and demolition materials,C&D,Recycling,100.0
2006,NT,Building and demolition materials,C&I,Disposal,8613.0
2006,NT,Building and demolition materials,C&I,Recycling,0.0
2006,NT,Building and demolition materials,MSW,Disposal,7609.0
2006,NT,Building and demolition materials,MSW,Recycling,0.0
2006,NT,Building and demolition materials,Total,Disposal,180864.0
2006,NT,Building and demolition materials,Total,Recycling,100.0
2006,NT,Glass,C&D,Disposal,644.0
2006,NT,Glass,C&D,Recycling,0.0
2006,NT,Glass,C&I,Disposal,1443.0
2006,NT,Glass,C&I,Recycling,0.0
2006,NT,Glass,MSW,Disposal,10266.0
2006,NT,Glass,MSW,Recycling,9000.0
2006,NT,Glass,Total,Disposal,12353.0
2006,NT,Glass,Total,Recycling,9000.0
2006,NT,Hazardous wastes,C&D,Disposal,15309.28401108322
2006,NT,Hazardous wastes,C&D,Energy recovery,0.0
2006,NT,Hazardous wastes,C&D,Recycling,775.6800424121653
2006,NT,Hazardous wastes,C&I,Disposal,23994.644365686927
2006,NT,Hazardous wastes,C&I,Energy recovery,5654.968248500618
2006,NT,Hazardous wastes,C&I,Recycling,45954.43321141736
2006,NT,Hazardous wastes,Total,Disposal,39303.92837677014
2006,NT,Hazardous wastes,Total,Energy recovery,5654.968248500618
2006,NT,Hazardous wastes,Total,Recycling,46730.11325382952
2006,NT,Metals,C&D,Disposal,7109.0
2006,NT,Metals,C&D,Recycling,0.0
2006,NT,Metals,C&I,Disposal,1607.0
2006,NT,Metals,C&I,Recycling,1100.0
2006,NT,Metals,MSW,Disposal,7207.0
2006,NT,Metals,MSW,Recycling,1540.0
2006,NT,Metals,Total,Disposal,15923.0
2006,NT,Metals,Total,Recycling,2640.0
2006,NT,Organics,C&D,Disposal,30226.0
2006,NT,Organics,C&D,Energy recovery,1734.0
2006,NT,Organics,C&D,Recycling,0.0
2006,NT,Organics,C&I,Disposal,45970.0
2006,NT,Organics,C&I,Energy recovery,4208.0
2006,NT,Organics,C&I,Recycling,50.0
2006,NT,Organics,MSW,Disposal,208060.0
2006,NT,Organics,MSW,Energy recovery,17656.0
2006,NT,Organics,MSW,Recycling,200.0
2006,NT,Organics,Total,Disposal,284255.0
2006,NT,Organics,Total,Energy recovery,23599.0
2006,NT,Organics,Total,Recycling,250.0
2006,NT,Paper & cardboard,C&D,Disposal,5373.0
2006,NT,Paper & cardboard,C&D,Energy recovery,619.0
2006,NT,Paper & cardboard,C&D,Recycling,0.0
2006,NT,Paper & cardboard,C&I,Disposal,9177.0
2006,NT,Paper & cardboard,C&I,Energy recovery,1057.0
2006,NT,Paper & cardboard,C&I,Recycling,10000.0
2006,NT,Paper & cardboard,MSW,Disposal,23284.0
2006,NT,Paper & cardboard,MSW,Energy recovery,2683.0
2006,NT,Paper & cardboard,MSW,Recycling,10100.0
2006,NT,Paper & cardboard,Total,Disposal,37834.0
2006,NT,Paper & cardboard,Total,Energy recovery,4359.0
2006,NT,Paper & cardboard,Total,Recycling,20100.0
2006,NT,Plastics,C&D,Disposal,5381.0
2006,NT,Plastics,C&D,Recycling,0.0
2006,NT,Plastics,C&I,Disposal,13096.0
2006,NT,Plastics,C&I,Recycling,400.0
2006,NT,Plastics,MSW,Disposal,30849.0
2006,NT,Plastics,MSW,Recycling,820.0
2006,NT,Plastics,Total,Disposal,49326.0
2006,NT,Plastics,Total,Recycling,1220.0
2006,NT,"Textiles, leather & rubber (excl. tyres)",C&D,Disposal,0.0
2006,NT,"Textiles, leather & rubber (excl. tyres)",C&D,Energy recovery,0.0
2006,NT,"Textiles, leather & rubber (excl. tyres)",C&D,Recycling,0.0
2006,NT,"Textiles, leather & rubber (excl. tyres)",C&I,Disposal,4555.0
2006,NT,"Textiles, leather & rubber (excl. tyres)",C&I,Energy recovery,396.0
2006,NT,"Textiles, leather & rubber (excl. tyres)",C&I,Recycling,0.0
2006,NT,"Textiles, leather & rubber (excl. tyres)",MSW,Disposal,4594.0
2006,NT,"Textiles, leather & rubber (excl. tyres)",MSW,Energy recovery,400.0
2006,NT,"Textiles, leather & rubber (excl. tyres)",MSW,Recycling,0.0
2006,NT,"Textiles, leather & rubber (excl. tyres)",Total,Disposal,9149.0
2006,NT,"Textiles, leather & rubber (excl. tyres)",Total,Energy recovery,796.0
2006,NT,"Textiles, leather & rubber (excl. tyres)",Total,Recycling,0.0
2006,NT,Total,C&D,Disposal,198263.0
2006,NT,Total,C&D,Energy recovery,1487.0
2006,NT,Total,C&D,Recycling,100.0
2006,NT,Total,C&I,Disposal,61476.0
2006,NT,Total,C&I,Energy recovery,3558.0
2006,NT,Total,C&I,Recycling,5800.0
2006,NT,Total,MSW,Disposal,187838.0
2006,NT,Total,MSW,Energy recovery,11911.0
2006,NT,Total,MSW,Recycling,10930.0
2006,NT,Total,Total,Disposal,447577.0
2006,NT,Total,Total,Energy recovery,16956.0
2006,NT,Total,Total,Recycling,16830.0
2006,NT,Unclassified materials,C&D,Disposal,0.0
2006,NT,Unclassified materials,C&D,Energy recovery,0.0
2006,NT,Unclassified materials,C&D,Recycling,0.0
2006,NT,Unclassified materials,C&I,Disposal,0.0
2006,NT,Unclassified materials,C&I,Energy recovery,0.0
2006,NT,Unclassified materials,C&I,Recycling,0.0
2006,NT,Unclassified materials,MSW,Disposal,0.0
2006,NT,Unclassified materials,MSW,Energy recovery,0.0
2006,NT,Unclassified materials,MSW,Recycling,0.0
2006,NT,Unclassified materials,Total,Disposal,0.0
2006,NT,Unclassified materials,Total,Energy recovery,0.0
2006,NT,Unclassified materials,Total,Recycling,0.0
2006,Qld,Ash,C&I,Long-term storage,12577910.891975943
2006,Qld,Ash,C&I,Recycling,2056932.3828660718
2006,Qld,Ash,Total,Long-term storage,12577910.891975943
2006,Qld,Ash,Total,Recycling,2056932.3828660718
2006,Qld,Biosolids,C&I,Disposal,26652.85002667227
2006,Qld,Biosolids,C&I,Recycling,817354.0674846163
2006,Qld,Biosolids,Total,Disposal,26652.85002667227
2006,Qld,Biosolids,Total,Recycling,817354.0674846163
2006,Qld,Building and demolition materials,C&D,Disposal,961063.0
2006,Qld,Building and demolition materials,C&D,Recycling,0.0
2006,Qld,Building and demolition materials,C&I,Disposal,171180.0
2006,Qld,Building and demolition materials,C&I,Recycling,0.0
2006,Qld,Building and demolition materials,MSW,Disposal,66453.0
2006,Qld,Building and demolition materials,MSW,Recycling,0.0
2006,Qld,Building and demolition materials,Total,Disposal,1198696.0
2006,Qld,Building and demolition materials,Total,Recycling,867277.0
2006,Qld,Glass,C&D,Disposal,3762.0
2006,Qld,Glass,C&D,Recycling,0.0
2006,Qld,Glass,C&I,Disposal,28683.0
2006,Qld,Glass,C&I,Recycling,0.0
2006,Qld,Glass,MSW,Disposal,89655.0
2006,Qld,Glass,MSW,Recycling,0.0
2006,Qld,Glass,Total,Disposal,122100.0
2006,Qld,Glass,Total,Recycling,163384.0
2006,Qld,Hazardous wastes,C&D,Disposal,1578758.712789835
2006,Qld,Hazardous wastes,C&D,Energy recovery,0.0
2006,Qld,Hazardous wastes,C&D,Recycling,178.05797976495657
2006,Qld,Hazardous wastes,C&I,Disposal,1432490.5349061128
2006,Qld,Hazardous wastes,C&I,Energy recovery,69462.79824162598
2006,Qld,Hazardous wastes,C&I,Recycling,1361976.5604014678
2006,Qld,Hazardous wastes,Total,Disposal,3011249.2476959475
2006,Qld,Hazardous wastes,Total,Energy recovery,69462.79824162598
2006,Qld,Hazardous wastes,Total,Recycling,1362154.6183812327
2006,Qld,Metals,C&D,Disposal,41500.0
2006,Qld,Metals,C&D,Recycling,0.0
2006,Qld,Metals,C&I,Disposal,31932.0
2006,Qld,Metals,C&I,Recycling,0.0
2006,Qld,Metals,MSW,Disposal,62938.0
2006,Qld,Metals,MSW,Recycling,0.0
2006,Qld,Metals,Total,Disposal,136371.0
2006,Qld,Metals,Total,Recycling,679596.0
2006,Qld,Organics,C&D,Disposal,174714.0
2006,Qld,Organics,C&D,Energy recovery,11845.0
2006,Qld,Organics,C&D,Recycling,0.0
2006,Qld,Organics,C&I,Disposal,899294.0
2006,Qld,Organics,C&I,Energy recovery,195944.0
2006,Qld,Organics,C&I,Recycling,0.0
2006,Qld,Organics,MSW,Disposal,1790599.0
2006,Qld,Organics,MSW,Energy recovery,458686.0
2006,Qld,Organics,MSW,Recycling,0.0
2006,Qld,Organics,Total,Disposal,2864608.0
2006,Qld,Organics,Total,Energy recovery,666474.0
2006,Qld,Organics,Total,Recycling,1227146.0
2006,Qld,Paper & cardboard,C&D,Disposal,30749.0
2006,Qld,Paper & cardboard,C&D,Energy recovery,4231.0
2006,Qld,Paper & cardboard,C&D,Recycling,0.0
2006,Qld,Paper & cardboard,C&I,Disposal,178783.0
2006,Qld,Paper & cardboard,C&I,Energy recovery,24601.0
2006,Qld,Paper & cardboard,C&I,Recycling,0.0
2006,Qld,Paper & cardboard,MSW,Disposal,199354.0
2006,Qld,Paper & cardboard,MSW,Energy recovery,27431.0
2006,Qld,Paper & cardboard,MSW,Recycling,0.0
2006,Qld,Paper & cardboard,Total,Disposal,408886.0
2006,Qld,Paper & cardboard,Total,Energy recovery,56263.0
2006,Qld,Paper & cardboard,Total,Recycling,531000.0
2006,Qld,Plastics,C&D,Disposal,31411.0
2006,Qld,Plastics,C&D,Recycling,560.0
2006,Qld,Plastics,C&I,Disposal,260262.0
2006,Qld,Plastics,C&I,Recycling,13388.0
2006,Qld,Plastics,MSW,Disposal,269415.0
2006,Qld,Plastics,MSW,Recycling,17187.0
2006,Qld,Plastics,Total,Disposal,561088.0
2006,Qld,Plastics,Total,Recycling,31135.0
2006,Qld,"Textiles, leather & rubber (excl. tyres)",C&D,Disposal,0.0
2006,Qld,"Textiles, leather & rubber (excl. tyres)",C&D,Energy recovery,0.0
2006,Qld,"Textiles, leather & rubber (excl. tyres)",C&D,Recycling,0.0
2006,Qld,"Textiles, leather & rubber (excl. tyres)",C&I,Disposal,89128.0
2006,Qld,"Textiles, leather & rubber (excl. tyres)",C&I,Energy recovery,9283.0
2006,Qld,"Textiles, leather & rubber (excl. tyres)",C&I,Recycling,0.0
2006,Qld,"Textiles, leather & rubber (excl. tyres)",MSW,Disposal,39498.0
2006,Qld,"Textiles, leather & rubber (excl. tyres)",MSW,Energy recovery,4114.0
2006,Qld,"Textiles, leather & rubber (excl. tyres)",MSW,Recycling,0.0
2006,Qld,"Textiles, leather & rubber (excl. tyres)",Total,Disposal,128627.0
2006,Qld,"Textiles, leather & rubber (excl. tyres)",Total,Energy recovery,13397.0
2006,Qld,"Textiles, leather & rubber (excl. tyres)",Total,Recycling,15634.0
2006,Qld,Total,C&D,Disposal,1155842.0
2006,Qld,Total,C&D,Energy recovery,10154.0
2006,Qld,Total,C&D,Recycling,1049648.0
2006,Qld,Total,C&I,Disposal,1209617.0
2006,Qld,Total,C&I,Energy recovery,131856.0
2006,Qld,Total,C&I,Recycling,1219651.0
2006,Qld,Total,MSW,Disposal,1622612.0
2006,Qld,Total,MSW,Energy recovery,260888.0
2006,Qld,Total,MSW,Recycling,1156363.0
2006,Qld,Total,Total,Disposal,3988071.0
2006,Qld,Total,Total,Energy recovery,402898.0
2006,Qld,Total,Total,Recycling,3425662.0
2006,Qld,Unclassified materials,C&D,Disposal,0.0
2006,Qld,Unclassified materials,C&D,Energy recovery,0.0
2006,Qld,Unclassified materials,C&D,Recycling,0.0
2006,Qld,Unclassified materials,C&I,Disposal,0.0
2006,Qld,Unclassified materials,C&I,Energy recovery,0.0
2006,Qld,Unclassified materials,C&I,Recycling,0.0
2006,Qld,Unclassified materials,MSW,Disposal,0.0
2006,Qld,Unclassified materials,MSW,Energy recovery,0.0
2006,Qld,Unclassified materials,MSW,Recycling,0.0
2006,Qld,Unclassified materials,Total,Disposal,0.0
2006,Qld,Unclassified materials,Total,Energy recovery,0.0
2006,Qld,Unclassified materials,Total,Recycling,0.0
2006,SA,Ash,C&I,Long-term storage,519019.2542891219
2006,SA,Ash,C&I,Recycling,782739.0
2006,SA,Ash,Total,Long-term storage,519019.2542891219
2006,SA,Ash,Total,Recycling,782739.0
2006,SA,Biosolids,C&I,Disposal,0.0
2006,SA,Biosolids,C&I,Recycling,402342.50110852707
2006,SA,Biosolids,Total,Disposal,0.0
2006,SA,Biosolids,Total,Recycling,402342.50110852707
2006,SA,Building and demolition materials,C&D,Disposal,100917.0
2006,SA,Building and demolition materials,C&D,Recycling,0.0
2006,SA,Building and demolition materials,C&I,Disposal,14073.0
2006,SA,Building and demolition materials,C&I,Recycling,0.0
2006,SA,Building and demolition materials,MSW,Disposal,5946.0
2006,SA,Building and demolition materials,MSW,Recycling,0.0
2006,SA,Building and demolition materials,Total,Disposal,120936.0
2006,SA,Building and demolition materials,Total,Recycling,1846624.0
2006,SA,Glass,C&D,Disposal,379.0
2006,SA,Glass,C&D,Recycling,0.0
2006,SA,Glass,C&I,Disposal,2264.0
2006,SA,Glass,C&I,Recycling,0.0
2006,SA,Glass,MSW,Disposal,14450.0
2006,SA,Glass,MSW,Recycling,0.0
2006,SA,Glass,Total,Disposal,17092.0
2006,SA,Glass,Total,Recycling,100220.0
2006,SA,Hazardous wastes,C&D,Disposal,54030.571820121404
2006,SA,Hazardous wastes,C&D,Energy recovery,0.0
2006,SA,Hazardous wastes,C&D,Recycling,29499.986979878602
2006,SA,Hazardous wastes,C&I,Disposal,239591.6621875603
2006,SA,Hazardous wastes,C&I,Energy recovery,50508.12938288629
2006,SA,Hazardous wastes,C&I,Recycling,183550.17940450032
2006,SA,Hazardous wastes,Total,Disposal,293622.2340076817
2006,SA,Hazardous wastes,Total,Energy recovery,50508.12938288629
2006,SA,Hazardous wastes,Total,Recycling,213050.1663843789
2006,SA,Metals,C&D,Disposal,5159.0
2006,SA,Metals,C&D,Recycling,0.0
2006,SA,Metals,C&I,Disposal,3681.0
2006,SA,Metals,C&I,Recycling,0.0
2006,SA,Metals,MSW,Disposal,13396.0
2006,SA,Metals,MSW,Recycling,0.0
2006,SA,Metals,Total,Disposal,22237.0
2006,SA,Metals,Total,Recycling,737990.0
2006,SA,Organics,C&D,Disposal,73074.0
2006,SA,Organics,C&D,Energy recovery,17618.0
2006,SA,Organics,C&D,Recycling,0.0
2006,SA,Organics,C&I,Disposal,131557.0
2006,SA,Organics,C&I,Energy recovery,58005.0
2006,SA,Organics,C&I,Recycling,0.0
2006,SA,Organics,MSW,Disposal,331359.0
2006,SA,Organics,MSW,Energy recovery,148223.0
2006,SA,Organics,MSW,Recycling,0.0
2006,SA,Organics,Total,Disposal,535990.0
2006,SA,Organics,Total,Energy recovery,223845.0
2006,SA,Organics,Total,Recycling,1142254.0
2006,SA,Paper & cardboard,C&D,Disposal,1580.0
2006,SA,Paper & cardboard,C&D,Energy recovery,881.0
2006,SA,Paper & cardboard,C&D,Recycling,0.0
2006,SA,Paper & cardboard,C&I,Disposal,22140.0
2006,SA,Paper & cardboard,C&I,Energy recovery,12349.0
2006,SA,Paper & cardboard,C&I,Recycling,0.0
